time,latitude,longitude,depth,mag,place
2021-11-10T01:49:48.941Z,-0.0906,124.372,73.79,4.1,"161 km ESE of Gorontalo, Indonesia"
2021-11-10T02:50:07.762Z,-7.5917,105.8256,21.04,5.1,"104 km SW of Pelabuhanratu, Indonesia"
2021-11-10T03:18:41.526Z,-24.1794,-67.4015,210.21,4.4,"110 km W of San Antonio de los Cobres, Argentina"
2021-11-10T03:55:00.651Z,-40.4224,-91.5519,10.0,4.4,West Chile Rise
2021-11-10T05:09:57.843Z,-59.442,-25.7422,10.0,4.5,South Sandwich Islands region
2021-11-10T05:48:24.136Z,-25.5342,-69.3148,89.16,4.3,"118 km NE of Diego de Almagro, Chile"
2021-11-10T06:51:46.962Z,-32.8423,-71.2764,61.36,4.3,"5 km NNW of Quillota, Chile"
2021-11-10T07:38:43.490Z,-10.7682,164.5144,67.11,4.2,"140 km W of Lata, Solomon Islands"
2021-11-10T09:59:31.154Z,-28.3493,-13.3207,10.0,4.8,southern Mid-Atlantic Ridge
2021-11-10T10:11:46.618Z,-28.2554,-13.2318,10.0,4.9,southern Mid-Atlantic Ridge
2021-11-10T10:12:18.622Z,-57.7706,-23.7732,10.0,4.8,South Sandwich Islands region
2021-11-10T10:51:05.157Z,-24.2285,-67.2619,191.72,4.5,"95 km W of San Antonio de los Cobres, Argentina"
2021-11-10T11:19:21.693Z,-57.5919,-26.1254,104.47,4.4,South Sandwich Islands region
2021-11-10T11:35:56.671Z,-28.4756,62.738,10.0,4.5,Southwest Indian Ridge
2021-11-10T13:53:49.908Z,-25.9112,-70.8715,20.72,4.0,"67 km SW of Taltal, Chile"
2021-11-10T16:02:02.920Z,-19.7719,-173.5188,10.0,4.8,"87 km E of Pangai, Tonga"
2021-11-10T17:46:40.379Z,-4.3244,134.1805,10.0,6.0,"181 km SW of Nabire, Indonesia"
2021-11-10T18:05:45.304Z,-4.3231,134.3304,10.0,4.1,"168 km SW of Nabire, Indonesia"
2021-11-10T21:13:44.588Z,-29.6982,-177.3015,33.99,4.6,"Kermadec Islands, New Zealand"
2021-11-10T21:19:56.526Z,-6.6272,155.0011,35.0,5.0,"63 km WSW of Panguna, Papua New Guinea"
2021-11-11T00:28:50.678Z,-2.6008,-12.1107,10.0,4.9,north of Ascension Island
2021-11-11T01:46:13.610Z,-31.3534,-178.2121,39.3,4.5,Kermadec Islands region
2021-11-11T02:54:57.686Z,-27.4928,-177.0328,177.88,4.4,Kermadec Islands region
2021-11-11T04:33:17.449Z,-14.185,-72.8726,84.72,4.2,"16 km ENE of Pachaconas, Peru"
2021-11-11T06:10:03.846Z,-20.0385,-178.0011,425.47,4.2,Fiji region
2021-11-11T06:35:31.154Z,-30.2694,-177.8796,35.0,5.0,"Kermadec Islands, New Zealand"
2021-11-11T07:48:58.829Z,-38.5819,176.182,116.22,4.0,"14 km NE of Taupo, New Zealand"
2021-11-11T08:03:24.338Z,-4.3771,151.3218,262.49,4.3,"95 km WSW of Rabaul, Papua New Guinea"
2021-11-11T09:00:06.965Z,-39.3023,-75.1724,10.0,4.3,"163 km WNW of Corral, Chile"
2021-11-11T09:43:36.738Z,-2.6811,-79.4648,10.0,3.9,"17 km E of Naranjal, Ecuador"
2021-11-11T10:17:52.030Z,-56.2073,-25.7246,10.0,4.6,South Sandwich Islands region
2021-11-11T10:49:56.234Z,-4.5194,144.6815,123.21,4.4,"84 km SE of Angoram, Papua New Guinea"
2021-11-11T14:18:17.666Z,-5.0214,152.9864,39.41,4.6,"109 km SE of Kokopo, Papua New Guinea"
2021-11-11T14:23:20.319Z,-4.7596,153.3412,47.81,4.3,"127 km ESE of Kokopo, Papua New Guinea"
2021-11-11T18:19:25.084Z,-6.6027,108.105,164.41,4.2,"22 km NW of Jatiwangi, Indonesia"
2021-11-11T19:15:45.879Z,-29.6109,-179.0854,324.66,4.2,Kermadec Islands region
2021-11-11T21:28:04.135Z,-16.3201,-177.2132,420.87,4.4,"242 km SSE of Alo, Wallis and Futuna"
2021-11-12T00:32:14.454Z,-21.6184,-66.8242,226.92,4.3,"98 km SW of Atocha, Bolivia"
2021-11-12T00:34:16.787Z,-26.5421,-13.6766,10.0,5.8,southern Mid-Atlantic Ridge
2021-11-12T02:42:50.696Z,-57.931,-25.4712,50.21,4.7,
2021-11-12T02:50:54.493Z,-57.9409,-25.4252,59.74,4.2,South Sandwich Islands region
2021-11-12T02:53:06.413Z,-58.0123,-25.5345,63.68,5.2,South Sandwich Islands region
2021-11-12T03:12:51.426Z,-58.8566,-25.1113,46.4,4.5,South Sandwich Islands region
2021-11-12T05:31:27.790Z,-59.71,-26.4283,83.85,4.2,South Sandwich Islands region
2021-11-12T05:59:16.526Z,-24.5851,-179.8005,500.76,4.2,south of the Fiji Islands
2021-11-12T06:20:21.794Z,-58.7174,-26.4121,156.0,4.5,South Sandwich Islands region
2021-11-12T08:09:51.102Z,-20.466,-177.8604,531.75,4.1,"285 km WNW of Haveluloto, Tonga"
2021-11-12T08:40:21.643Z,-56.8863,-26.8891,131.31,4.7,South Sandwich Islands region
2021-11-12T15:19:11.964Z,-23.2497,-179.19,499.65,4.3,south of the Fiji Islands
2021-11-12T17:19:17.468Z,-24.3036,-175.0484,10.0,4.9,south of Tonga
2021-11-12T17:33:15.742Z,-20.9672,-70.3015,41.85,3.9,"84 km S of Iquique, Chile"
2021-11-12T20:41:31.574Z,-16.1904,-74.5342,11.5,4.9,"47 km SSW of Atiquipa, Peru"
2021-11-12T22:47:10.851Z,-5.8216,153.4011,10.0,4.6,"206 km SE of Kokopo, Papua New Guinea"
2021-11-13T00:48:20.937Z,-56.3665,-25.1106,10.0,4.6,South Sandwich Islands region
2021-11-13T01:31:17.764Z,-8.0991,123.7836,158.03,4.2,"138 km NNW of Pante Makasar, Timor Leste"
2021-11-13T03:18:55.446Z,-20.5952,-177.7323,505.24,4.9,"269 km WNW of Haveluloto, Tonga"
2021-11-13T05:46:08.158Z,-4.1043,129.1238,132.49,4.4,"87 km SSE of Amahai, Indonesia"
2021-11-13T06:21:11.083Z,-58.1824,-23.7638,10.0,4.3,South Sandwich Islands region
2021-11-13T09:11:09.767Z,-3.9792,152.1408,203.61,4.1,"24 km N of Rabaul, Papua New Guinea"
2021-11-13T10:02:24.033Z,-19.5133,169.8023,33.86,4.5,"54 km E of Isangel, Vanuatu"
2021-11-13T10:19:29.919Z,-14.5962,-176.1705,10.0,4.4,"145 km S of Mata-Utu, Wallis and Futuna"
2021-11-13T11:17:14.801Z,-15.0698,-176.0605,10.0,4.4,"198 km S of Mata-Utu, Wallis and Futuna"
2021-11-13T12:12:08.044Z,-22.7927,-66.4923,266.96,4.2,"82 km W of Abra Pampa, Argentina"
2021-11-13T12:27:05.626Z,-15.3582,-175.8081,10.0,4.3,"225 km WNW of Hihifo, Tonga"
2021-11-13T13:05:54.157Z,-20.9319,119.8141,10.0,5.3,"27 km NNE of Marble Bar, Australia"
2021-11-13T14:08:44.523Z,-14.7685,-176.1008,10.0,5.5,"164 km S of Mata-Utu, Wallis and Futuna"
2021-11-13T14:10:39.315Z,-26.4526,-13.6884,10.0,5.5,southern Mid-Atlantic Ridge
2021-11-13T16:06:24.839Z,-15.9284,-173.0936,10.0,4.8,"75 km E of Hihifo, Tonga"
2021-11-13T16:22:08.313Z,-26.4301,-13.956,10.0,4.6,southern Mid-Atlantic Ridge
2021-11-13T16:57:38.968Z,-26.4876,-13.6096,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-13T18:25:33.369Z,-15.2819,167.7209,167.28,4.2,"65 km ENE of Luganville, Vanuatu"
2021-11-13T18:47:56.220Z,-59.4559,-25.8629,35.0,4.3,South Sandwich Islands region
2021-11-13T19:02:49.963Z,-57.7824,-23.9218,10.0,5.1,South Sandwich Islands region
2021-11-13T19:45:50.336Z,-23.5714,-179.7702,508.02,4.9,south of the Fiji Islands
2021-11-13T20:12:26.106Z,-26.5867,-13.6486,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-13T20:57:35.455Z,-26.4685,-13.6529,10.0,4.8,southern Mid-Atlantic Ridge
2021-11-13T22:24:17.666Z,-26.4772,-13.6809,10.0,4.7,southern Mid-Atlantic Ridge
2021-11-13T22:45:02.003Z,-26.3596,-13.6483,10.0,4.9,southern Mid-Atlantic Ridge
2021-11-13T23:12:53.619Z,-26.4262,-13.708,10.0,4.7,southern Mid-Atlantic Ridge
2021-11-13T23:27:06.844Z,-20.8555,-178.46,538.6,4.1,Fiji region
2021-11-14T00:03:38.467Z,-26.4446,-13.7105,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-14T00:18:13.091Z,-30.0985,-177.4814,35.0,4.8,"Kermadec Islands, New Zealand"
2021-11-14T00:47:36.923Z,-26.5824,-13.7152,10.0,5.4,southern Mid-Atlantic Ridge
2021-11-14T01:20:25.681Z,-57.2452,-23.9771,10.0,4.3,South Sandwich Islands region
2021-11-14T01:24:17.170Z,-26.3378,-13.6312,10.0,4.4,southern Mid-Atlantic Ridge
2021-11-14T01:40:41.253Z,-14.8557,-176.4512,10.0,4.6,"176 km S of Mata-Utu, Wallis and Futuna"
2021-11-14T02:07:30.300Z,-26.5026,-13.5862,10.0,4.4,southern Mid-Atlantic Ridge
2021-11-14T03:48:27.369Z,-57.7589,-25.2091,35.0,5.1,South Sandwich Islands region
2021-11-14T03:57:51.300Z,-26.5154,-13.7322,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-14T04:02:42.953Z,-26.3595,-13.7637,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-14T04:04:06.104Z,-14.4813,-176.6066,10.0,4.7,"140 km SSW of Mata-Utu, Wallis and Futuna"
2021-11-14T04:13:16.199Z,-26.4863,-13.8076,10.0,4.8,southern Mid-Atlantic Ridge
2021-11-14T04:27:51.216Z,-23.6945,-179.743,557.89,4.1,south of the Fiji Islands
2021-11-14T04:54:15.670Z,-8.5705,118.3521,137.44,4.1,"12 km WSW of Dompu, Indonesia"
2021-11-14T04:58:48.491Z,-22.0418,-177.6457,326.65,4.2,"270 km WSW of Haveluloto, Tonga"
2021-11-14T05:56:55.584Z,-22.0909,-176.6936,10.0,4.3,"185 km SW of Haveluloto, Tonga"
2021-11-14T06:02:04.641Z,-15.4794,-175.5865,10.0,4.3,"198 km WNW of Hihifo, Tonga"
2021-11-14T06:16:17.232Z,-26.6234,-13.6078,10.0,4.7,southern Mid-Atlantic Ridge
2021-11-14T06:45:10.974Z,-30.7269,-178.5099,71.84,4.0,"Kermadec Islands, New Zealand"
2021-11-14T06:56:43.959Z,-26.4338,-13.6995,10.0,4.8,
2021-11-14T07:05:49.695Z,-26.4154,-13.8156,10.0,4.6,southern Mid-Atlantic Ridge
2021-11-14T07:26:58.363Z,-24.6908,69.7532,10.0,4.7,Mid-Indian Ridge
2021-11-14T08:15:32.170Z,-26.5307,-13.5665,10.0,4.7,southern Mid-Atlantic Ridge
2021-11-14T11:59:38.920Z,-59.7872,-25.5559,10.0,5.0,South Sandwich Islands region
2021-11-14T13:29:36.532Z,-6.2979,128.4248,305.04,4.0,"288 km S of Ambon, Indonesia"
2021-11-14T17:26:07.295Z,-26.3994,-13.6092,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-14T17:48:57.176Z,-42.8277,-83.128,10.0,4.6,West Chile Rise
2021-11-14T18:22:41.697Z,-14.9475,-173.5045,10.0,4.2,"115 km NNE of Hihifo, Tonga"
2021-11-14T19:13:07.507Z,-17.7055,-174.8467,227.32,4.6,"138 km NW of Neiafu, Tonga"
2021-11-14T20:04:06.945Z,-26.4038,-13.6382,10.0,4.8,southern Mid-Atlantic Ridge
2021-11-14T20:23:39.505Z,-15.9546,166.5896,10.0,4.8,"77 km SW of Luganville, Vanuatu"
2021-11-14T21:51:41.315Z,-26.5254,-13.7043,10.0,4.6,southern Mid-Atlantic Ridge
2021-11-14T21:58:55.467Z,-37.5796,51.1794,10.0,5.1,South Indian Ocean
2021-11-14T22:02:10.194Z,-37.6826,51.3092,10.0,4.8,South Indian Ocean
2021-11-14T22:08:02.320Z,-37.6598,51.3141,10.0,4.8,South Indian Ocean
2021-11-14T22:19:35.051Z,-9.1906,-111.084,10.0,4.6,central East Pacific Rise
2021-11-14T22:53:19.571Z,-21.0177,-178.4838,567.83,4.1,Fiji region
2021-11-14T23:06:09.392Z,-37.6863,51.1972,10.0,4.6,South Indian Ocean
2021-11-15T01:03:35.580Z,-37.5587,-73.7581,15.29,4.5,"10 km WNW of Lebu, Chile"
2021-11-15T01:05:38.606Z,-23.4727,-66.7049,203.32,4.5,"91 km NNW of San Antonio de los Cobres, Argentina"
2021-11-15T01:38:54.633Z,-4.0251,30.1834,10.0,4.1,"23 km ESE of Rutana, Burundi"
2021-11-15T04:23:30.468Z,-37.5124,51.2613,10.0,6.0,South Indian Ocean
2021-11-15T04:40:01.236Z,-37.6443,51.2595,10.0,4.4,South Indian Ocean
2021-11-15T04:52:36.095Z,-37.6221,51.3821,10.0,4.7,South Indian Ocean
2021-11-15T06:12:59.889Z,-37.6062,51.1316,10.0,4.4,South Indian Ocean
2021-11-15T06:17:18.406Z,-37.7383,51.1073,10.0,4.7,South Indian Ocean
2021-11-15T06:39:10.708Z,-18.0431,-177.847,633.19,4.0,Fiji region
2021-11-15T06:57:10.476Z,-40.1436,77.8973,10.0,4.3,Mid-Indian Ridge
2021-11-15T07:10:07.804Z,-10.5507,161.6402,88.92,4.1,"32 km WSW of Kirakira, Solomon Islands"
2021-11-15T07:11:58.728Z,-37.4676,51.0088,10.0,5.3,South Indian Ocean
2021-11-15T07:13:32.121Z,-37.5498,51.1517,10.0,5.0,South Indian Ocean
2021-11-15T08:24:16.936Z,-5.7426,152.0252,10.0,4.2,"157 km S of Kokopo, Papua New Guinea"
2021-11-15T09:36:27.537Z,-34.9114,-111.2029,10.0,5.2,southern East Pacific Rise
2021-11-15T09:37:43.638Z,-19.2721,-177.4619,559.44,4.1,Fiji region
2021-11-15T11:09:03.146Z,-6.157,108.0175,277.76,4.4,"26 km ENE of Pamanukan, Indonesia"
2021-11-15T12:31:45.885Z,-24.0632,-67.0208,236.07,4.4,"73 km WNW of San Antonio de los Cobres, Argentina"
2021-11-15T13:14:06.849Z,-18.3345,-177.6689,511.9,4.3,Fiji region
2021-11-15T13:23:40.716Z,-5.3781,145.6743,101.37,4.1,"21 km SW of Madang, Papua New Guinea"
2021-11-15T13:26:35.979Z,-6.357,154.8019,375.9,4.1,"75 km W of Panguna, Papua New Guinea"
2021-11-15T13:42:33.877Z,-6.03,152.1961,10.0,4.4,"186 km S of Kokopo, Papua New Guinea"
2021-11-15T15:24:03.591Z,-34.9579,-111.319,10.0,4.6,southern East Pacific Rise
2021-11-15T15:38:50.644Z,-59.6658,-26.0022,35.0,4.3,South Sandwich Islands region
2021-11-15T15:53:33.704Z,-43.1525,-82.1629,10.0,4.4,West Chile Rise
2021-11-15T17:23:38.617Z,-17.4099,-173.9476,76.28,4.4,"137 km N of Neiafu, Tonga"
2021-11-15T20:24:42.861Z,-6.2433,130.2081,151.35,4.8,"289 km WSW of Tual, Indonesia"
2021-11-15T20:48:38.619Z,-37.6529,50.9978,10.0,4.7,Southwest Indian Ridge
2021-11-15T21:03:49.893Z,-24.2075,-67.288,184.75,4.6,"98 km W of San Antonio de los Cobres, Argentina"
2021-11-15T21:26:31.107Z,-49.1244,-8.6711,10.0,4.6,southern Mid-Atlantic Ridge
2021-11-15T22:31:01.856Z,-21.9625,-68.8394,118.89,4.3,"55 km N of Calama, Chile"
2021-11-15T23:26:23.510Z,-58.3107,-25.1412,35.0,4.6,South Sandwich Islands region
2021-11-16T01:26:22.179Z,-15.3871,-177.8062,416.53,4.2,"123 km SSE of Alo, Wallis and Futuna"
2021-11-16T02:27:02.144Z,-6.2938,148.8091,58.18,4.3,"82 km W of Kandrian, Papua New Guinea"
2021-11-16T02:29:30.584Z,-3.5487,135.2805,55.34,4.1,"32 km SW of Nabire, Indonesia"
2021-11-16T03:42:30.094Z,-0.0647,122.8633,151.3,4.2,"70 km SSW of Gorontalo, Indonesia"
2021-11-16T04:09:22.383Z,-8.0204,110.0055,119.41,4.0,"28 km WSW of Srandakan, Indonesia"
2021-11-16T04:10:06.400Z,-4.4371,101.7651,44.47,4.3,"89 km SW of Bengkulu, Indonesia"
2021-11-16T04:24:45.156Z,-22.7553,-179.5372,567.99,4.3,south of the Fiji Islands
2021-11-16T06:24:59.746Z,-57.7355,-25.7258,56.29,5.0,South Sandwich Islands region
2021-11-16T07:49:43.383Z,-7.4903,128.0096,154.48,4.1,"159 km NE of Lospalos, Timor Leste"
2021-11-16T08:33:01.591Z,-8.9532,88.148,10.0,5.3,South Indian Ocean
2021-11-16T10:24:59.313Z,-58.6768,-23.5641,10.0,4.6,South Sandwich Islands region
2021-11-16T17:05:16.603Z,-36.8458,-74.1843,9.23,4.1,"88 km WNW of Arauco, Chile"
2021-11-16T17:11:17.572Z,-2.226,102.3492,211.84,4.4,"108 km E of Sungai Penuh, Indonesia"
2021-11-16T19:03:11.793Z,-7.556,104.8053,10.0,4.3,"172 km SW of Labuan, Indonesia"
2021-11-16T23:11:13.441Z,-57.9826,-25.1832,35.0,4.7,South Sandwich Islands region
2021-11-16T23:59:23.708Z,-7.6377,122.8123,289.1,4.4,"127 km NNE of Maumere, Indonesia"
2021-11-17T03:19:59.075Z,-5.5357,152.0987,10.0,4.6,"133 km S of Kokopo, Papua New Guinea"
2021-11-17T03:30:34.980Z,-3.5754,101.5892,59.84,5.0,"79 km WNW of Bengkulu, Indonesia"
2021-11-17T03:44:46.037Z,-20.0931,-177.1131,10.0,4.6,"230 km WNW of Haveluloto, Tonga"
2021-11-17T07:03:50.574Z,-26.5155,-13.7935,10.0,4.5,southern Mid-Atlantic Ridge
2021-11-17T07:39:02.348Z,-4.5664,153.5438,88.11,5.3,"143 km E of Kokopo, Papua New Guinea"
2021-11-17T08:28:40.977Z,-23.7635,179.4233,520.27,4.6,south of the Fiji Islands
2021-11-17T09:13:41.098Z,-3.0302,139.5425,64.51,4.2,"130 km WSW of Abepura, Indonesia"
2021-11-17T13:28:24.636Z,-8.8766,158.6358,27.9,4.3,"132 km SW of Buala, Solomon Islands"
2021-11-17T13:37:18.455Z,-37.6283,179.6565,10.0,4.9,"184 km NE of Gisborne, New Zealand"
2021-11-17T14:22:06.644Z,-16.101,-176.2352,371.14,4.3,"261 km W of Hihifo, Tonga"
2021-11-17T16:11:55.188Z,-34.1182,-178.9669,10.0,4.6,south of the Kermadec Islands
2021-11-17T16:24:16.520Z,-3.7673,139.5463,61.09,4.3,"177 km SW of Abepura, Indonesia"
2021-11-17T18:40:57.506Z,-18.0153,-178.1808,564.05,4.1,"265 km E of Levuka, Fiji"
2021-11-17T21:28:09.260Z,-8.6638,122.311,147.83,4.3,"12 km ESE of Maumere, Indonesia"
